group,TV ABERTA
ext,Pluto Cine familia,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f171f032cd22e0007f17f3d/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto Cine romance,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f171f988ab9780007fa95ea/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto Cinema nacional,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f5a545d0dbf7f0007c09408/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto Séries,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f121262a189a800076b9386/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto Drama,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f1210d14ae1f80007bafb1d/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Paramount+,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/60072798dcf437000755b4f3/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Adrenaline Freezone,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/61b790b985706b00072cb797/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Cine Suspense,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f171d3442a0500007362f22/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
Tvcultura.br,TV Cultura,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/62e010e6cd663f0007e57dc8/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Cine Comédia,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f12101f0b12f00007844c7c/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Cine Terror,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f12111c9e6c2c00078ef3bb/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Plantão noturno,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/624f4e6bd5888f000754c53a/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Comédia romântica,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/62545ed3dab4380007582f7c/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Cine Clássicos,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5fa1612a669ba0000702017b/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,A feiticeira,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/631fa8dd7f25240007099a40/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Jeannie é um Gênio,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/6079c058aa05ac0007d10054/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Os três patetas,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f1eed3c29b39600073e2ec0/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Cine Retrô,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/5f1212ad1728050007a523b8/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Arnold,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/61f1d27a189ed10007b7393e/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto UOL,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/6238c63deec07b000723dd77/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=c5eac813887544b7a80540b014ca5482&deviceLat=-1.3247&deviceLon=-48.2925&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=cbca92a34d0a11edb4edd6faf2e157da&userId=
ext,Pluto REDE TV,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/6048fc47a44e540007745d2b/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=b6229c29928f487d87a86d9992d09a5b&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=b4d7d9865d4111ed8e47fec5a6cdbd8c&userId=
ext,Pluto Jovem Pan,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/602e80c762306a0007179876/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=b6229c29928f487d87a86d9992d09a5b&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=b4d7d9865d4111ed8e47fec5a6cdbd8c&userId=
ext,O homem que veio do Céu,https://service-stitcher-ipv4.clusters.pluto.tv/stitch/hls/channel/62052d3b4eeb740007fbe125/master.m3u8?advertisingId=&appName=web&appVersion=unknown&architecture=&buildVersion=&clientTime=&deviceDNT=0&deviceId=b6229c29928f487d87a86d9992d09a5b&deviceLat=-1.3450&deviceLon=-48.4219&deviceMake=Chrome&deviceModel=Chrome&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&marketingRegion=BR&sid=b4d7d9865d4111ed8e47fec5a6cdbd8c&userId=

group,FILMES ONDEMAND
ext,A Era do Gelo 2,https://vod.provider.plex.tv/library/parts/6308468981112-dash.mpd?X-Plex-Session-Identifier=nxe9bsfvnbgauzk9kacgy9h1&X-Plex-Product=Plex%20Web&X-Plex-Version=4.89.1&X-Plex-Client-Identifier=d0yzzrm42oucmj03766m2cfs&X-Plex-Platform=Chrome&X-Plex-Platform-Version=104.0&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=hosted&X-Plex-Device=Android&X-Plex-Device-Name=Chrome&X-Plex-Device-Screen-Resolution=980x1780%2C320x712&X-Plex-Token=EKXrK4UGPTk2os736AYM&X-Plex-Language=pt-BR&Accept-Language=pt-BR
avi,A Filha do Rei,https://video.wixstatic.com/video/e16db6_7c2d4c1a95c9447695d00457aad28d60/1080p/mp4/file.mp4
ext,A Justiceira,https://siloh.pluto.tv/367_pluto/clip/6272df8bb55dbf001353a1ba_Miss_Meadows_BR/720p/20220504_131819/hls/0-end/master.m3u8
avi,A Nova Onda do Imperador,https://video.wixstatic.com/video/e16db6_a4d979cfee8640b4a8e9da6d128f4d8f/1080p/mp4/file.mp4
ext,A Qualquer Preço,https://siloh.pluto.tv/c6009f_pluto/clip/600ae7fc2816a5001aa14606_CIVIL_ACTION_A_BR/720p/20210122_065805/hls/0-end/master.m3u8
ext,A Recompensa,https://cdnapisec.kaltura.com/p/513551/sp/51355100/playManifest/entryId/1_25rrfxqy/format/applehttp/protocol/https/flavorIds/1_zdle1ses,1_t2mwavgx,1_dkjnw7na,1_yucx9g09,1_0nwqbpfk,1_t99z4u9b,1_mypu91ke/preferredBitrate/1500/maxBitrate/10000/a.m3u8?timestamp=1667421303&id=3340&ip=167.249.209.179&override_expiration=1500&sign=PRWKYh99G8G4%2FLhXlTBy5ADTynU2Pfiw051WeaaULXc%3D&playSessionId=78678a3f-c278-fdfd-3065-522321b37720:11918c64-23a8-7eea-7c44-d6959a9952ad&referrer=aHR0cHM6Ly93d3cucnVudGltZS50di9wdC1ici9mZWF0dXJlL3JlY29tcGVuc2E=&clientTag=html5:v7.54
ext,A Travessia,https://play.prod.gcp.vix.services/crossing-point_pt/crossing-point_pt_1-1/play_v1_hls_1080p.m3u8
ext,Acerto de Contas,https://siloh.pluto.tv/186_pluto/clip/627e7810c51411001347a8a3_Recoil_BR/720p/20220513_082400/hls/0-end/master.m3u8
ext,Agora Estamos Sozinhos,https://siloh.pluto.tv/00e25a_Kinpil_Films/clip/614242d5d982620013b9fc0a_I_Think_We_are_Alone_Now_BR/720p/20210921_091358/hls/0-end/master.m3u8
ext,Albert Nobbs,https://cdnapisec.kaltura.com/p/513551/sp/51355100/playManifest/entryId/1_hon8tcs9/format/applehttp/protocol/https/flavorIds/1_1dgre6m6,1_5418gt6x,1_13ujo6tj,1_eig5y4kg,1_3knwsrex,1_qo6wg3g6/preferredBitrate/1500/maxBitrate/10000/a.m3u8?timestamp=1657570151&id=904&ip=167.249.209.218&override_expiration=1500&sign=FVTen8HHGBywwXKg3n5DbcTY%2FojAI0Lu0cgooulFIg4%3D&playSessionId=64c15bf3-ac88-dc2e-3362-6f75adf4d2ab:0aac8de6-2d41-146a-cbcd-bac35e516bb0&referrer=aHR0cHM6Ly93d3cucnVudGltZS50di9wdC1ici9mZWF0dXJlL2FsYmVydC1ub2Jicw==&clientTag=html5:v7.49
avi,Apenas um Show: O Filme,https://video.wixstatic.com/video/e16db6_ccb7e03daf3f49389ff663d79b73c8dc/720p/mp4/file.mp4
ext,Ascensão e Queda de um Império,https://siloh.pluto.tv/820_pluto/clip/6272df8fb55dbf001353a231_Empire_of_Lust_BR/720p/20220504_131823/hls/0-end/master.m3u8
ext,Assassinos de Aluguel,https://siloh.pluto.tv/c6009f_pluto/clip/604b923eb2b870001a05f840_Freelancers_BR/720p/20210312_080934/hls/0-end/master.m3u8
ext,Assassinatos do Passado,https://siloh.pluto.tv/494_pluto/clip/627e8369b55dbf0013581eaf_House_of_Bodies_BR/720p/20220513_091226/hls/0-end/master.m3u8
ext,Batalha dos Impérios,https://siloh.pluto.tv/c6009f_pluto/clip/5f86fe5f3bd42e001ac65616_Dragon_Blade_BR/720p/20201014_063423/hls/0-end/master.m3u8
avi,Como Hackear Seu Chefe,https://video.wixstatic.com/video/e16db6_cd4f9ef80a624f45b6fb458074065b59/1080p/mp4/file.mp4
ext,Fuga do Vulcão,https://siloh.pluto.tv/c6009f_pluto/clip/603fb51405d744001a21f933_Airplane_vs_Volcano_BR/720p/20210303_081101/hls/0-end/master.m3u8
ext,Hellraiser: Renascido do Inferno,https://cdnapisec.kaltura.com/p/513551/sp/51355100/playManifest/entryId/1_mx8ih37s/format/applehttp/protocol/https/flavorIds/1_5ockhd6v,1_0glp91vr,1_jnogvbat,1_2rzbzvpw,1_umvdd37o,1_t2jialyn,1_97es4oe7/preferredBitrate/1500/maxBitrate/10000/a.m3u8?timestamp=1667421027&id=6245&ip=167.249.209.179&override_expiration=1500&sign=mlfnO1mtPWyVGAprscpuNGqU3JddrMA%2Bj3BoECEUrSU%3D&playSessionId=a1ec7d8d-33b2-e65b-26b5-c46bc1269ae5:be9bfb57-796d-22aa-01cf-eba77267477d&referrer=aHR0cHM6Ly93d3cucnVudGltZS50di9wdC1ici9mZWF0dXJlL2hlbGxyYWlzZXItcmVuYXNjaWRvLWRvLWluZmVybm8=&clientTag=html5:v7.54
ext,o Estripador,https://siloh.pluto.tv/824_Indigenius/clip/62605c68228ab000133ef78c_As_Laminas_de_Jack_o_Estripador_BR/720p/20220420_141746/hls/0-end/master.m3u8
ext,O Alvo: Bem-Vindo ao Inferno,https://siloh.pluto.tv/c6009f_pluto/clip/60bf76c71f07220014c0c43e_Devils_Tomb_BR/720p/20210608_065520/hls/0-end/master.m3u8
ext,O Salvador,https://play.prod.gcp.vix.services/the-savior_pt/the-savior_pt_1-1/play_v1_hls_1080p.m3u8
ext,Os X-Mercenários,https://siloh.pluto.tv/410_Polar/clip/62cc47c575b9dc0013c81496_Pride_of_Lions_BR/720p/20220721_121500/hls/0-end/master.m3u8
avi,Pesadelo no Inferno,https://video.wixstatic.com/video/e16db6_e04b7ff875f84da6af6aead3aa711666/720p/mp4/file.mp4
ext,Skyline - Além do Horizonte,https://siloh.pluto.tv/355_Sofa_Digital/clip/620d047533b8100013ba34e5_Alem_do_Horizonte/720p/20220221_082013/hls/0-end/master.m3u8

group,Variedades
avi,www.listaiptv.gratis,https://lib.bz/video/site.mp4
avi,www.tvonline.fm,https://lib.bz/video/site_gerou.mp4
ext,SBT Interior SP,https://cdn.jmvstream.com/w/LVW-10801/LVW10801_Xvg4R0u57n/playlist.m3u8
ext,SBT - TV Cidade Verde - (PI),https://stmv1.transmissaodigital.com/cidadeverdenovo/cidadeverdenovo/playlist.m3u8
ext,SBT - TV Floresta (PA),https://live-par-2-cdn.livepush.io/live_cdn/emVqPK2sSrR_sJM/index.m3u8?session_id=07382404165747025&token=6a4e80165f9a351b28f5cc95d81cedcc3397484d-95dd2cde4a660b38-1663012377
ext,SBT - TV Difusora (MA),https://stream.amsolution.net.br:8443/live/60ce4ae4b9d4c/index.m3u8
